"Table 3F: Alcohol-specific deaths (new National Statistics definition) of females by age-group and average age at death: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Age at death,,,,,,,,,,,,,,,,,,,,,,,
,All ages,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,,Average age,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,,
1979,122,0,0,0,0,0,1,2,10,20,15,17,26,15,5,5,3,1,2,0,,53.5,,
1980,125,0,0,0,0,1,2,6,11,13,15,22,16,22,12,2,2,1,0,0,,52.8,,
1981,101,0,0,0,0,0,2,3,4,9,12,14,21,18,9,6,2,1,0,0,,55.4,,
1982,112,0,0,0,0,0,1,3,3,9,18,12,27,19,12,7,1,0,0,0,,55.5,,
1983,119,0,0,0,0,0,1,2,7,11,15,24,18,16,13,10,0,2,0,0,,55.3,,
1984,145,0,0,0,0,1,2,8,6,11,23,21,21,27,10,8,6,1,0,0,,54.7,,
1985,135,0,0,0,0,2,2,3,8,6,13,23,22,26,19,7,2,2,0,0,,56.2,,
1986,127,0,0,0,0,1,1,2,14,12,10,19,21,17,15,11,1,3,0,0,,55.4,,
1987,119,0,0,0,0,0,4,4,5,7,16,25,17,12,17,6,4,2,0,0,,55.1,,
1988,130,0,0,0,0,1,0,3,11,8,16,16,23,29,16,2,4,1,0,0,,55.5,,
1989,145,0,0,0,0,0,0,2,8,9,18,19,33,21,15,13,4,2,1,0,,57.3,,
1990,142,0,0,0,0,1,1,1,11,18,21,20,20,23,15,6,3,1,0,1,,54.6,,
1991,152,0,0,0,0,0,0,5,17,19,24,16,17,22,11,7,9,3,2,0,,54.7,,
1992,130,0,0,0,0,0,2,5,7,12,25,14,18,22,12,9,3,1,0,0,,54.6,,
1993,137,0,0,0,0,1,1,5,4,13,22,23,24,23,8,8,3,1,1,0,,54.7,,
1994,163,0,0,0,0,0,0,4,15,25,18,18,24,26,18,9,5,0,0,1,,54.7,,
1995,202,0,0,0,0,1,0,9,9,19,33,29,27,36,18,9,9,1,2,0,,55.3,,
1996,253,0,0,0,0,1,0,3,14,32,35,42,31,40,31,13,10,1,0,0,,55.5,,
1997,254,0,0,0,1,2,3,7,17,29,35,52,33,25,24,17,6,3,0,0,,53.9,,
1998,278,0,0,0,0,0,2,4,20,31,39,44,47,37,28,13,8,3,2,0,,55.2,,
1999,305,0,0,0,0,2,1,10,20,29,58,47,46,33,23,24,8,3,1,0,,54.2,,
2000,340,0,0,0,0,0,7,7,20,33,48,55,54,58,28,16,11,2,1,0,,54.6,,
2001,359,0,0,1,0,0,1,12,24,33,59,59,53,41,38,24,9,4,1,0,,54.8,,
2002,400,0,0,0,0,0,3,8,24,36,64,64,66,53,43,23,9,4,3,0,,55.4,,
2003,397,0,0,0,0,0,3,7,20,39,53,70,72,57,40,20,11,5,0,0,,55.5,,
2004,386,0,0,0,1,1,4,7,29,35,61,64,65,54,34,14,13,3,1,0,,54.4,,
2005,431,0,0,0,0,0,5,11,28,38,65,67,77,53,48,19,10,8,1,1,,55.0,,
2006,438,0,0,1,1,1,2,12,26,38,65,70,83,65,40,25,7,2,0,0,,54.6,,
2007,378,0,0,0,0,1,4,10,29,33,55,77,62,45,34,20,7,1,0,0,,53.9,,
2008,400,0,0,0,0,0,2,11,30,38,47,77,75,50,44,13,5,8,0,0,,54.7,,
2009,394,0,0,0,0,1,5,10,21,38,45,69,59,63,36,31,10,3,3,0,,55.6,,
2010,355,0,0,0,1,1,3,9,21,34,51,64,54,52,41,11,9,3,0,1,,54.6,,
2011,376,0,0,0,0,2,6,7,28,39,43,61,59,52,41,23,10,2,2,1,,55.1,,
2012,298,0,0,0,0,0,1,10,14,27,40,43,50,45,34,21,7,1,4,1,,56.3,,
2013,308,0,0,0,0,1,2,10,15,30,40,53,54,41,35,15,8,4,0,0,,55.2,,
2014,324,0,0,0,0,1,4,9,15,29,48,54,53,40,34,13,18,3,1,2,,55.6,,
2015,334,0,0,0,0,0,3,8,9,31,50,48,70,36,35,26,11,5,2,0,,56.4,,
2016,342,0,0,0,0,1,1,7,10,28,36,59,58,53,46,18,15,8,2,0,,57.6,,
2017,331,0,0,0,0,0,3,11,8,19,39,54,67,43,51,23,5,7,0,1,,57.4,,
2018,374,0,0,0,0,2,4,7,14,24,40,55,71,59,37,28,19,8,6,0,,58.0,,
2019,361,0,0,0,0,1,4,9,13,26,37,46,72,56,52,26,11,4,4,0,,57.4,,
,,,,,,,,,,,,,,,,,,,,,,,,
5-year moving annual averages,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1979 to 1983,116,0,0,0,0,0,1,3,7,12,15,18,22,18,10,6,2,1,0,0,,54.5,,
