"Table 3M: Alcohol-specific deaths (new National Statistics definition) of males by age-group and average age at death: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Age at death,,,,,,,,,,,,,,,,,,,,,
,All ages,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,,Average age
,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,
1979,267,0,0,0,2,0,4,5,13,24,48,46,44,27,29,17,6,2,0,0,,54.5
1980,244,0,0,0,0,1,8,9,12,25,26,36,44,33,29,14,7,0,0,0,,54.5
1981,247,0,0,0,0,1,5,7,14,24,31,40,45,32,26,13,8,1,0,0,,54.4
1982,243,0,0,0,0,1,1,8,9,33,22,36,41,36,31,17,6,1,1,0,,55.8
1983,232,0,0,0,1,2,4,9,11,18,24,38,35,45,24,12,7,2,0,0,,55.1
1984,224,0,0,0,0,0,8,10,13,18,27,26,39,36,28,13,5,1,0,0,,54.7
1985,260,0,0,0,0,1,3,6,15,21,36,35,55,34,35,13,3,3,0,0,,55.2
1986,257,0,0,0,0,5,6,8,20,18,27,36,48,40,30,8,7,4,0,0,,54.4
1987,265,0,0,0,1,1,5,5,14,20,30,42,37,47,36,14,10,2,0,1,,56.2
1988,297,0,0,0,0,3,8,16,15,26,34,36,40,45,53,13,6,1,1,0,,54.5
1989,304,0,0,0,1,2,4,7,12,36,34,45,51,48,39,21,4,0,0,0,,55.1
1990,294,0,0,0,0,3,5,7,26,30,40,40,44,40,31,17,5,3,1,2,,54.3
1991,279,0,0,0,0,1,2,8,25,25,39,34,45,31,29,25,9,6,0,0,,55.5
1992,280,0,0,0,0,3,0,5,24,27,35,33,45,43,32,15,10,8,0,0,,55.8
1993,314,0,0,0,1,1,4,7,23,32,37,51,35,35,46,27,7,5,2,1,,55.8
1994,387,0,0,0,1,2,7,15,18,35,56,49,62,58,49,24,6,4,1,0,,55.0
1995,425,0,0,0,1,2,3,13,17,37,55,69,70,66,45,33,9,3,2,0,,55.7
1996,522,0,0,0,0,2,1,13,33,47,69,82,98,68,51,37,14,7,0,0,,55.6
1997,607,0,0,1,0,2,3,15,34,75,91,83,84,80,76,36,19,3,5,0,,55.3
1998,637,0,0,0,1,2,6,14,28,73,84,131,102,75,56,39,17,4,3,2,,54.8
1999,716,0,0,0,3,3,10,27,47,65,85,127,107,103,69,39,24,4,2,1,,54.5
2000,804,0,0,0,1,2,8,27,42,75,101,138,139,107,77,52,26,6,3,0,,55.2
2001,869,0,0,0,1,0,10,22,52,69,115,142,125,136,113,52,23,7,2,0,,55.8
2002,934,0,0,0,2,1,10,27,37,85,124,162,151,146,94,59,24,7,5,0,,55.6
2003,957,0,0,0,0,1,7,13,51,89,120,152,149,157,89,74,39,12,3,1,,56.7
2004,945,0,0,0,2,1,10,24,51,86,125,131,165,141,116,45,33,14,1,0,,55.7
2005,923,0,0,0,1,3,3,26,46,76,140,141,143,142,93,68,23,14,4,0,,55.9
2006,979,0,0,0,0,2,7,21,64,99,133,148,148,158,110,60,19,5,5,0,,55.2
2007,904,0,0,0,0,2,5,27,43,83,105,151,162,142,96,53,23,10,2,0,,55.7
2008,916,0,0,0,2,2,7,20,51,79,119,139,140,145,115,55,28,14,0,0,,56.1
2009,786,0,0,0,0,4,5,22,39,79,101,123,118,127,88,45,19,11,4,1,,55.7
2010,828,0,0,0,0,2,12,15,39,68,99,132,132,138,99,54,21,14,3,0,,56.4
2011,759,0,0,0,0,0,4,15,41,64,84,106,119,124,93,66,22,15,4,2,,57.4
2012,670,0,0,0,0,1,12,18,30,46,85,88,98,118,93,37,25,14,4,1,,56.9
2013,694,0,0,0,0,2,6,19,29,58,84,115,106,102,75,49,31,10,5,3,,56.8
2014,712,0,0,0,0,0,6,7,34,48,89,100,114,102,95,66,33,17,1,0,,58.1
2015,711,0,0,0,0,0,6,13,24,38,89,102,103,115,108,58,36,15,4,0,,58.7
2016,797,0,0,0,0,0,8,14,19,53,83,116,123,122,114,70,46,22,7,0,,59.1
2017,789,0,0,0,0,0,7,14,29,34,84,105,119,118,133,74,51,17,4,0,,59.5
2018,762,0,0,0,1,1,0,8,32,47,72,91,136,98,118,93,38,18,5,4,,59.9
2019,659,0,0,0,0,1,5,12,24,43,71,90,92,92,91,76,32,19,10,1,,59.3
,,,,,,,,,,,,,,,,,,,,,,
5-year moving annual averages,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1979 to 1983,247,0,0,0,1,1,4,8,12,25,30,39,42,35,28,15,7,1,0,0,,54.9
1980 to 1984,238,0,0,0,0,1,5,9,12,24,26,35,41,36,28,14,7,1,0,0,,54.9
1981 to 1985,241,0,0,0,0,1,4,8,12,23,28,35,43,37,29,14,6,2,0,0,,55.0
