Generated by http://statistics.gov.scot,2021-08-08T11:52:45+00:00
http://statistics.gov.scot/data/deaths,Deaths
measure type,Count
Age,All
Cause Of Death,All
Gender,All
Year,Calendar Year
Measure (cell values): ,Count(Deaths)

,,http://reference.data.gov.uk/id/year/2001,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,"","","","","","","","","","","",54937,54700,54239,57579,56728,57883,58503,58108
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,"","","","","","","","","","","",2078,2047,2187,2187,2129,2130,2170,2161
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,"","","","","","","","","","","",2235,2299,2295,2458,2360,2470,2462,2534
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,"","","","","","","","","","","",1308,1324,1306,1347,1433,1405,1367,1410
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,"","","","","","","","","","","",1093,1001,1042,1173,1110,1072,1121,1094
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,"","","","","","","","","","","",4265,4254,4154,4326,4361,4290,4467,4266
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,"","","","","","","","","","","",506,557,488,546,546,556,526,607
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,"","","","","","","","","","","",1829,1875,1883,1912,1858,1986,1950,1932
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,"","","","","","","","","","","",1687,1551,1604,1761,1691,1783,1721,1688
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,"","","","","","","","","","","",1307,1438,1388,1406,1453,1436,1504,1499
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,"","","","","","","","","","","",973,1010,1044,1068,1114,1157,1066,1137
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,"","","","","","","","","","","",1037,1025,1020,1073,1001,1141,1065,1024
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,"","","","","","","","","","","",863,885,878,890,883,933,909,923
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,"","","","","","","","","","","",1576,1582,1519,1622,1734,1644,1761,1786
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,"","","","","","","","","","","",3832,3845,3577,4027,4091,4189,4028,4155
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,"","","","","","","","","","","",6499,6305,6210,6515,6321,6485,6413,6314
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,"","","","","","","","","","","",2238,2352,2325,2565,2397,2576,2666,2635
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,"","","","","","","","","","","",956,965,937,1031,1006,1104,1074,1079
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,"","","","","","","","","","","",823,818,837,896,848,885,884,929
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,"","","","","","","","","","","",995,939,947,1054,979,1009,1078,1044
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,"","","","","","","","","","","",390,336,346,350,359,347,356,358
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,"","","","","","","","","","","",1538,1596,1582,1740,1593,1672,1735,1740
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,"","","","","","","","","","","",3369,3448,3365,3624,3568,3664,3644,3689
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,"","","","","","","","","","","",216,242,205,222,223,276,226,232
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,"","","","","","","","","","","",1629,1603,1498,1652,1617,1692,1701,1694
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,"","","","","","","","","","","",1934,1875,1909,1995,2070,2043,2015,2039
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,"","","","","","","","","","","",1282,1222,1335,1389,1277,1298,1472,1299
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,"","","","","","","","","","","",203,203,225,256,232,207,217,199
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,"","","","","","","","","","","",1386,1441,1404,1498,1445,1436,1514,1513
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,"","","","","","","","","","","",3439,3329,3318,3497,3529,3523,3603,3522
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,"","","","","","","","","","","",879,860,898,925,899,815,946,968
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,"","","","","","","","","","","",1106,1039,1043,1095,1050,1031,1170,1046
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,"","","","","","","","","","","",1466,1434,1470,1479,1551,1628,1672,1592
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,"","","","","","","","","","","",640,639,636,615,593,600,630,617
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,"","","","","","","","","","","",751,753,873,868,841,850,846,858
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,"","","","","","","","","","","",762,738,757,793,771,773,787,797
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,"","","","","","","","","","","",594,658,661,706,650,680,734,729
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,"","","","","","","","","","","",623,669,620,687,701,667,698,684
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,"","","","","","","","","","","",709,697,692,715,719,733,748,779
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,"","","","","","","","","","","",631,629,646,664,684,697,738,680
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,"","","","","","","","","","","",786,739,812,790,814,799,732,799
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,"","","","","","","","","","","",780,816,764,814,869,889,895,865
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,"","","","","","","","","","","",816,748,793,891,820,806,842,830
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,"","","","","","","","","","","",994,970,994,1064,1024,1021,1045,1078
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,"","","","","","","","","","","",866,811,843,918,851,916,854,933
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross","","","","","","","","","","","",735,788,787,882,797,909,845,860
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley","","","","","","","","","","","",888,985,928,916,929,931,968,948
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,"","","","","","","","","","","",650,687,627,690,713,680,674,763
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,"","","","","","","","","","","",839,778,777,875,829,865,886,812
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,"","","","","","","","","","","",746,744,798,784,802,760,798,811
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,"","","","","","","","","","","",679,715,682,735,749,771,773,738
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,"","","","","","","","","","","",750,747,671,763,767,826,816,810
