"Deaths in which particular drugs were involved, counted on the 'All Drugs Present' basis.",,,,,,,,,,
"So, this table counts both",,,,,,,,,,
"(a) drugs implicated in, or which potentially contributed to, the cause of death;  ",,,,,,,,,,
and  ,,,,,,,,,,
"(b) other drugs which were present, but were not considered to have had any direct contribution to the death",,,,,,,,,,
,,,,,,,,,,
so these figures are not on the standard basis that the General Register Office for Scotland (GROS) uses to produce ,,,,,,,,,,
statistics of individual drugs.,,,,,,,,,,
,,,,,,,,,,
"Table CX:  Drug-related deaths by selected drugs reported1 and Council area, 2009",,,,,,,,,,
,,,,,,,,,,
Council,All drug-related deaths,Heroin /,Meth-,Benzodiazepines,,,Cocaine,Ecstasy,Amphet-,Alcohol
area,,morphine 2,adone,Any,of which:,,,,amines,
,,,,benzo-,Diaz-,Temaz-,,,,
,,,,diazepine,epam,epam,,,,
,,,,,,,,,,
Scotland,545,338,188,386,329,20,57,2,16,277
,,,,,,,,,,
Aberdeen City,27,21,4,13,1,0,7,0,2,15
Aberdeenshire,18,10,5,12,0,0,5,0,1,10
Angus,9,9,1,7,7,0,0,0,0,6
Argyll & Bute,7,4,3,6,6,0,0,0,0,4
Clackmannanshire,3,3,1,2,2,0,0,0,0,0
Dumfries & Galloway,8,6,3,4,4,1,1,0,0,3
Dundee City,30,19,12,20,18,1,1,0,0,8
East Ayrshire,12,12,3,8,8,0,1,0,0,6
East Dunbartonshire,5,2,4,4,4,0,1,0,0,3
East Lothian,6,3,3,5,4,3,0,0,0,3
East Renfrewshire,7,4,1,6,6,0,1,0,1,6
"Edinburgh, City of",45,18,22,36,33,5,1,1,1,21
Eilean Siar,2,1,0,1,0,0,0,0,0,1
Falkirk,5,3,2,4,4,0,1,0,0,2
Fife,32,19,8,17,17,1,0,0,2,6
Glasgow City,135,78,50,94,88,2,18,0,6,78
Highland,14,10,5,12,7,1,0,0,0,9
Inverclyde,7,5,2,5,5,0,1,0,0,2
Midlothian,9,3,3,5,5,0,3,0,0,2
Moray,7,3,3,7,0,0,1,0,0,5
North Ayrshire,19,13,7,14,12,1,1,1,0,12
North Lanarkshire,35,27,10,26,23,0,4,0,2,20
Orkney Islands,0,0,0,0,0,0,0,0,0,0
Perth & Kinross,5,3,1,5,4,1,0,0,0,3
Renfrewshire,26,19,9,18,18,0,5,0,0,12
Scottish Borders,5,2,0,4,3,0,0,0,0,4
Shetland Islands,0,0,0,0,0,0,0,0,0,0
South Ayrshire,8,4,4,6,5,0,0,0,1,5
South Lanarkshire,19,10,6,14,14,0,3,0,0,12
Stirling,6,4,0,4,4,0,0,0,0,4
West Dunbartonshire,13,10,7,11,11,0,1,0,0,9
West Lothian,21,13,9,16,16,4,1,0,0,6
,,,,,,,,,,
"1.  More than one drug may be reported per death. These are mentions of each drug, and should not be added to give total deaths.  ",,,,,,,,,,
"   Up to 2007, some pathologists reported only those drugs which they thought caused, or contributed to, the death.",,,,,,,,,,
"   With effect from 2008, pathologists report separately (a) drugs which were implicated in, or which potentially contributed to, the cause of death",,,,,,,,,,
   and (b) other drugs which were present but were not considered to have had any direct contribution to the death.  ,,,,,,,,,,
   Basis (a) is now the standard basis for GROS's figures for individual drugs.,,,,,,,,,,
   The figures in this table are for all drugs found present - i.e. cover both (a) and (b) - so are not on the standard basis for GROS's figures for individual drugs.,,,,,,,,,,
"   While they are on the same basis as the 'individual drugs' figures that were published in Drug-related Deaths in Scotland in 2008,",,,,,,,,,,
   they are not on the same basis as the figures published in the 2009 edition (which includes some revised figures for individual drugs for 2008).,,,,,,,,,,
   There may be other differences between years and/or areas in the way in which the information was produced. Further information can be found in ,,,,,,,,,,
   Section 2 of the relevant Drug-related Deaths in Scotland publication.,,,,,,,,,,
2. Further information can be found in paragraph 3.3.1 of the relevant Drug-related Deaths in Scotland publication.,,,,,,,,,,
