"Table CX:  Drug-related deaths by selected drugs reported1 and Council area, 2010",,,,,,,,,,
,,,,,,,,,,
"*****     Deaths in which particular drugs were involved, counted on the 'All Drugs Present' basis.",,,,,,,,,,
"*****     So, this table counts both",,,,,,,,,,
"*****     (a) drugs implicated in, or which potentially contributed to, the cause of death;  ",,,,,,,,,,
*****     and  ,,,,,,,,,,
"*****     (b) other drugs which were present, but were not considered to have had any direct contribution to the death",,,,,,,,,,
,,,,,,,,,,
*****     so these figures are not on the standard basis that National Records of Scotland uses to produce statistics of individual drugs,,,,,,,,,,
,,,,,,,,,,
Council,All drug-related deaths,Heroin /,Meth-,Benzodiazepines,,,Cocaine,Ecstasy,Amphet-,Alcohol
area,,morphine 2,adone,Any,of which:,,,,amines,
,,,,benzo-,Diaz-,Temaz-,,,,
,,,,diazepine,epam,epam,,,,
,,,,,,,,,,
Scotland,485,269,182,324,288,14,50,1,9,219
,,,,,,,,,,
Aberdeen City,31,13,14,26,3,0,9,0,0,19
Aberdeenshire,10,1,5,7,3,1,2,0,0,7
Angus,9,6,0,1,1,0,0,0,0,2
Argyll & Bute,4,2,1,4,4,0,1,0,0,3
Clackmannanshire,1,1,0,0,0,0,0,0,0,1
Dumfries & Galloway,6,3,2,3,3,0,0,0,0,2
Dundee City,22,10,10,9,9,0,0,0,0,2
East Ayrshire,11,6,4,10,10,0,1,0,1,7
East Dunbartonshire,6,4,1,5,5,0,0,0,0,3
East Lothian,7,5,3,5,5,1,0,0,0,3
East Renfrewshire,4,4,0,3,3,0,0,0,0,3
"Edinburgh, City of",47,19,23,31,30,9,2,0,0,19
Eilean Siar,1,0,0,1,0,0,0,0,0,0
Falkirk,10,7,2,6,6,0,1,0,0,2
Fife,35,21,19,12,12,0,0,0,1,9
Glasgow City,94,52,39,76,74,0,10,0,3,50
Highland,6,5,0,4,3,0,2,1,2,5
Inverclyde,17,11,6,12,12,0,0,0,0,9
Midlothian,7,2,6,4,4,0,0,0,0,3
Moray,3,0,1,3,1,0,1,0,0,3
North Ayrshire,12,10,2,5,5,0,1,0,0,6
North Lanarkshire,36,24,12,22,22,0,6,0,1,15
Orkney Islands,2,0,0,0,0,0,0,0,0,0
Perth & Kinross,3,2,0,1,1,0,0,0,0,0
Renfrewshire,19,15,6,19,19,1,3,0,0,6
Scottish Borders,9,7,1,8,8,0,0,0,0,5
Shetland Islands,2,2,0,1,0,0,0,0,0,1
South Ayrshire,8,3,5,8,8,0,1,0,0,2
South Lanarkshire,26,17,8,18,18,0,5,0,1,11
Stirling,7,5,2,5,5,0,0,0,0,4
West Dunbartonshire,18,6,8,10,9,1,4,0,0,10
West Lothian,12,6,2,5,5,1,1,0,0,7
,,,,,,,,,,
"1.  More than one drug may be reported per death.  These are mentions of each drug, and should not be added to give total deaths.  ",,,,,,,,,,
"   Up to 2007, some pathologists reported only those drugs which they thought caused, or contributed to, the death",,,,,,,,,,
"   With effect from 2008, pathologists report separately (a) drugs which were implicated in, or which potentially contributed to, the cause of death",,,,,,,,,,
   and (b) other drugs which were present but were not considered to have had any direct contribution to the death.  ,,,,,,,,,,
   Basis (a) is now the standard basis for figures for individual drugs.,,,,,,,,,,
   The figures in this table are for all drugs found present - i.e. cover both (a) and (b) - so are not on the standard basis for igures for individual drugs.,,,,,,,,,,
"   While they are on the same basis as the ""individual drugs"" figures that were published in ""Drug-related Deaths in Scotland in 2008"",",,,,,,,,,,
   they are not on the same basis as the figures published in the 2009 and 2010 editions (which include some revised figures for individual drugs for 2008).,,,,,,,,,,
   There may be other differences between years and/or areas in the way in which the information was produced - see Section 2.,,,,,,,,,,
2. See paragraph 3.3.1 of commentary.,,,,,,,,,,
