"Table C3: Drug-related deaths by selected drugs reported1 and council area, 2017",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Council area 3,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Benzodiazepines,,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,,,,,,,
,,,,,,,,Any benzo-diazepine,of which:,,,,,,,,,,,,,,
,,,,,,,,,Diazepam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Scotland,934         ,470         ,439         ,709         ,27         ,97         ,815         ,552         ,205         ,176         ,27         ,32         ,90         ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,54         ,28         ,38         ,45         ,1         ,6         ,49         ,41         ,36         ,16         ,0         ,1         ,6         ,,,,,,,,,,
Aberdeenshire,24         ,10         ,11         ,15         ,2         ,4         ,20         ,11         ,7         ,9         ,1         ,1         ,2         ,,,,,,,,,,
Angus,18         ,9         ,9         ,15         ,1         ,3         ,16         ,11         ,7         ,0         ,1         ,0         ,3         ,,,,,,,,,,
Argyll & Bute,8         ,3         ,0         ,4         ,1         ,0         ,7         ,2         ,0         ,1         ,1         ,0         ,1         ,,,,,,,,,,
City of Edinburgh,84         ,32         ,48         ,63         ,2         ,10         ,70         ,47         ,30         ,23         ,5         ,2         ,10         ,,,,,,,,,,
Clackmannanshire,5         ,2         ,2         ,3         ,0         ,1         ,5         ,3         ,0         ,0         ,0         ,0         ,0         ,,,,,,,,,,
Dumfries & Galloway,22         ,14         ,11         ,20         ,1         ,1         ,22         ,6         ,4         ,2         ,1         ,0         ,4         ,,,,,,,,,,
Dundee City,57         ,42         ,27         ,51         ,1         ,4         ,53         ,44         ,17         ,7         ,0         ,0         ,5         ,,,,,,,,,,
East Ayrshire,24         ,14         ,15         ,22         ,0         ,0         ,22         ,16         ,0         ,5         ,0         ,0         ,0         ,,,,,,,,,,
East Dunbartonshire,8         ,3         ,2         ,4         ,0         ,0         ,5         ,3         ,0         ,3         ,0         ,1         ,2         ,,,,,,,,,,
East Lothian,12         ,6         ,2         ,9         ,2         ,2         ,11         ,3         ,2         ,2         ,2         ,1         ,2         ,,,,,,,,,,
East Renfrewshire,4         ,0         ,2         ,2         ,1         ,0         ,3         ,2         ,0         ,1         ,0         ,1         ,0         ,,,,,,,,,,
Falkirk,16         ,9         ,11         ,13         ,0         ,4         ,15         ,9         ,3         ,5         ,0         ,0         ,1         ,,,,,,,,,,
Fife,66         ,41         ,30         ,53         ,2         ,6         ,62         ,39         ,28         ,8         ,4         ,2         ,2         ,,,,,,,,,,
Glasgow City,192         ,91         ,95         ,150         ,6         ,12         ,168         ,121         ,8         ,25         ,2         ,8         ,21         ,,,,,,,,,,
Highland,24         ,10         ,10         ,17         ,0         ,7         ,22         ,17         ,10         ,3         ,1         ,1         ,1         ,,,,,,,,,,
