"Table C3: Drug-related deaths by selected drugs reported1 and council area, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council area 3,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Any benzo-diazepine,of which:,,of which:,,,,,,,,,,,,,,,,
,,,,,,,,,"any ""Prescrib-able"" benzo-diazepine",of which: ,"any ""Street"" benzo-diazepine",of which: ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Diazepam,,Etizolam,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,"1,187",537,560,896,57,133,"1,021",792,238,211,675,548,367,273,35,46,156,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,52,23,31,40,2,8,46,31,24,21,20,3,18,25,1,0,3,,,,,,,,,,
Aberdeenshire,23,8,11,15,2,3,18,14,13,12,7,1,5,12,5,0,3,,,,,,,,,,
Angus,13,7,4,10,2,1,11,7,3,3,5,5,5,1,0,0,0,,,,,,,,,,
Argyll & Bute,9,4,2,6,0,0,6,3,1,0,3,3,1,1,1,0,0,,,,,,,,,,
City of Edinburgh,95,35,53,73,4,12,78,62,39,38,47,29,42,33,4,6,16,,,,,,,,,,
Clackmannanshire,10,4,6,7,0,0,8,9,1,1,9,8,4,2,0,1,1,,,,,,,,,,
Dumfries & Galloway,20,13,13,19,0,1,19,16,7,6,12,5,5,1,1,0,2,,,,,,,,,,
Dundee City,66,34,27,55,2,4,58,49,16,11,45,41,27,9,0,2,7,,,,,,,,,,
East Ayrshire,29,19,14,22,0,0,26,21,0,0,21,21,8,4,1,1,2,,,,,,,,,,
East Dunbartonshire,9,4,1,5,0,1,5,4,2,2,3,2,1,3,1,0,2,,,,,,,,,,
East Lothian,18,7,7,12,4,5,16,7,6,5,3,2,8,6,0,1,4,,,,,,,,,,
East Renfrewshire,11,4,2,8,1,2,10,8,0,0,8,8,1,2,1,0,1,,,,,,,,,,
Falkirk,43,24,19,33,5,8,37,29,7,7,25,15,13,5,0,2,8,,,,,,,,,,
