"Table C1: Drug-related deaths by Council area, 2009 - 2019 (with averages for 2005-2009 and 2015-2019)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Annual averages,,,,2015-2019,,Males,,,Females,,,
Council area1,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 to 2009,2015 to 2019,,Population in 2017,"average deaths per 1,000 population ",,2009,2019,,2009,2019,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,545,485,584,581,527,614,706,868,934,"1,187 ","1,264 ",,466,992,,"5,424,800",0.18,,413,877,,132,387,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,27,31,29,16,24,26,45,46,54,52 ,44 ,,23,48,,"228,800",0.21,,21,31,,6,13,,
Aberdeenshire,18,10,19,9,21,8,14,12,24,23 ,26 ,,14,20,,"261,800",0.08,,15,16,,3,10,,
Angus,9,9,8,8,10,8,17,13,18,13 ,21 ,,8,16,,"116,280",0.14,,7,15,,2,6,,
Argyll & Bute,7,4,12,7,5,8,11,10,8,9 ,13 ,,5,10,,"86,810",0.12,,7,10,,0,3,,
City of Edinburgh,45,47,48,57,64,71,69,90,84,95 ,96 ,,45,87,,"513,210",0.17,,31,67,,14,29,,
Clackmannanshire,3,1,6,11,7,6,7,12,5,10 ,15 ,,4,10,,"51,450",0.19,,1,6,,2,9,,
Dumfries & Galloway,8,6,12,6,9,14,11,17,22,20 ,35 ,,8,21,,"149,200",0.14,,8,26,,0,9,,
Dundee City,30,22,32,39,24,31,36,38,57,66 ,72 ,,22,54,,"148,710",0.36,,21,46,,9,26,,
East Ayrshire,12,11,17,15,12,17,14,29,24,29 ,41 ,,10,27,,"121,940",0.22,,8,22,,4,19,,
East Dunbartonshire,5,6,2,4,1,4,9,7,8,9 ,7 ,,4,8,,"108,130",0.07,,4,6,,1,1,,
East Lothian,6,7,8,6,8,11,10,11,12,18 ,18 ,,5,14,,"104,840",0.13,,4,11,,2,7,,
East Renfrewshire,7,4,3,4,3,5,8,5,4,11 ,8 ,,4,7,,"94,760",0.08,,7,6,,0,2,,
Falkirk,5,10,11,14,11,9,14,30,16,43 ,41 ,,10,29,,"160,130",0.18,,4,34,,1,7,,
Fife,32,35,34,38,39,46,44,45,66,64 ,81 ,,27,60,,"371,410",0.16,,22,52,,10,29,,
Glasgow City,135,94,117,121,103,114,157,170,192,280 ,279 ,,107,216,,"621,020",0.35,,98,191,,37,88,,
Highland,14,6,21,15,13,17,24,19,24,36 ,11 ,,12,23,,"235,180",0.10,,12,7,,2,4,,
Inverclyde,7,17,20,13,10,17,16,20,23,24 ,33 ,,8,23,,"78,760",0.29,,6,26,,1,7,,
Midlothian,9,7,4,8,8,7,6,8,19,14 ,18 ,,5,13,,"90,090",0.14,,9,13,,0,5,,
Moray,7,3,10,6,5,2,10,10,7,17 ,12 ,,4,11,,"95,780",0.12,,6,8,,1,4,,
Na h-Eileanan Siar,2,1,1,1,2,1,1,1,3,2 ,0 ,,1,1,,"26,950",0.05,,1,0,,1,0,,
North Ayrshire,19,12,16,19,11,15,15,32,25,38 ,41 ,,14,30,,"135,790",0.22,,15,30,,4,11,,
North Lanarkshire,35,36,27,38,38,33,42,49,53,72 ,95 ,,28,62,,"339,960",0.18,,26,71,,9,24,,
Orkney Islands,0,2,0,1,1,0,1,1,1,3 ,1 ,,0,1,,"22,000",0.06,,0,0,,0,1,,
Perth & Kinross,5,3,5,8,3,9,10,11,19,30 ,25 ,,8,19,,"151,100",0.13,,4,20,,1,5,,
Renfrewshire,26,19,24,26,13,30,19,42,38,50 ,45 ,,20,39,,"176,830",0.22,,20,30,,6,15,,
Scottish Borders,5,9,8,7,8,11,13,10,13,22 ,16 ,,5,15,,"115,020",0.13,,4,8,,1,8,,
Shetland Islands,0,2,3,2,0,4,1,1,2,0 ,2 ,,1,1,,"23,080",0.05,,0,2,,0,0,,
South Ayrshire,8,8,14,9,13,11,14,24,12,15 ,26 ,,7,18,,"112,680",0.16,,5,20,,3,6,,
South Lanarkshire,19,26,34,29,37,34,31,64,49,58 ,68 ,,22,54,,"318,170",0.17,,18,51,,1,17,,
Stirling,6,7,9,6,6,10,10,9,15,19 ,19 ,,6,14,,"94,000",0.15,,5,14,,1,5,,
West Dunbartonshire,13,18,17,19,8,19,12,13,15,20 ,32 ,,16,18,,"89,610",0.21,,8,20,,5,12,,
West Lothian,21,12,13,19,10,16,15,19,22,25 ,23 ,,11,21,,"181,310",0.11,,16,18,,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,,,
"1) With effect from the ""... in 2016"" edition of this publication, the alphabetical order of the councils changed due to the adoption of the preferred forms of reference for the Edinburgh and Western Isles areas. Previous versions of this table used the forms 'Edinburgh, City of' and 'Eilean Siar'.       
       
       
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,
