"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Smoking attributable deaths","Scotland","S00000001","Scotland",2013,"2012 to 2013 calendar years; 2-year aggregates",10207.07,370.71,363.26,378.26,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Ayrshire & Arran","S08000015","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",835.37,382.18,355.66,410.09,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Borders","S08000016","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",211.42,295.66,255.5,340.13,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Dumfries & Galloway","S08000017","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",334.49,337.75,301.42,377.14,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Forth Valley","S08000019","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",528.74,353.37,322.4,386.4,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Grampian","S08000020","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",918.19,321.54,300.35,343.78,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Highland","S08000022","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",562.57,295.34,270.41,321.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lothian","S08000024","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",1347.68,342.07,323.37,361.53,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Orkney","S08000025","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",32.49,254.93,172.49,362.1,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Shetland","S08000026","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",33.34,291.63,194.4,417.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Western Isles","S08000028","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",65.21,361.75,275.96,464.93,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Fife","S08000029","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",729.31,373.26,345.57,402.51,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Tayside","S08000030","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",762.61,324.07,300.76,348.67,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",2490.23,454.17,435.75,473.14,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lanarkshire","S08000032","Health board",2013,"2012 to 2013 calendar years; 2-year aggregates",1349.37,423.88,400.12,448.62,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Clackmannanshire","S12000005","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",97.79,366.81,294.13,451.31,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dumfries & Galloway","S12000006","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",334.49,337.75,301.42,377.14,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Ayrshire","S12000008","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",276.67,417.32,367.35,471.96,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Lothian","S12000010","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",167.6,299.63,254.61,350.13,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Renfrewshire","S12000011","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",128,252.11,208.77,301.53,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Na h-Eileanan Siar","S12000013","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",65.21,361.75,275.96,464.93,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Falkirk","S12000014","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",284.94,370.24,326.39,418.12,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Highland","S12000017","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",380.34,285.72,256.54,317.2,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
